threshold_25,threshold_50,threshold_75,accuracy,avg_flops_giga,exit_25_rate,exit_50_rate,exit_75_rate,dense_rate,exit_25_acc,exit_50_acc,exit_75_acc,dense_exit_acc,pareto_optimal
0.9,0.6,0.7,0.8,0.972015,0.502,0.3968,0.056,0.0452,0.948606,0.691028,0.55,0.415929,False
0.7,0.8,0.8,0.7998,0.911495,0.6886,0.1726,0.0616,0.0772,0.877432,0.705678,0.63961,0.445596,True
0.7,0.8,0.7,0.7996,0.892281,0.6886,0.1726,0.0794,0.0594,0.877432,0.705678,0.589421,0.451178,True
0.7,0.8,0.95,0.7996,0.947763,0.6886,0.1726,0.028,0.1108,0.877432,0.705678,0.778571,0.467509,False
0.9,0.6,0.6,0.7994,0.962948,0.502,0.3968,0.0644,0.0368,0.948606,0.691028,0.524845,0.413043,False
0.7,0.8,0.6,0.7992,0.878465,0.6886,0.1726,0.0922,0.0466,0.877432,0.705678,0.574837,0.433476,True
0.8,0.9,0.3,0.7988,0.95711,0.6118,0.172,0.209,0.0072,0.907159,0.763954,0.525359,0.361111,False
0.7,0.9,0.5,0.7986,0.900358,0.6886,0.1334,0.1432,0.0348,0.877432,0.751124,0.560056,0.402299,False
0.8,0.7,0.5,0.798,0.902448,0.6118,0.2588,0.1018,0.0276,0.907159,0.690108,0.526523,0.391304,False
0.7,0.95,0.4,0.7978,0.913458,0.6886,0.1,0.1918,0.0196,0.877432,0.82,0.541189,0.397959,False
0.95,0.6,0.5,0.7978,1.012237,0.418,0.474,0.0846,0.0234,0.962679,0.724051,0.50591,0.401709,False
0.8,0.8,0.4,0.7972,0.923575,0.6118,0.2212,0.1506,0.0164,0.907159,0.719711,0.508632,0.390244,False
0.9,0.6,0.5,0.797,0.94762,0.502,0.3968,0.0786,0.0226,0.948606,0.691028,0.480916,0.389381,False
0.7,0.7,0.9,0.7964,0.884187,0.6886,0.2018,0.0338,0.0758,0.877432,0.676908,0.686391,0.427441,False
0.7,0.8,0.5,0.7964,0.861194,0.6886,0.1726,0.1082,0.0306,0.877432,0.705678,0.534196,0.411765,True
0.7,0.95,0.3,0.7964,0.900073,0.6886,0.1,0.2042,0.0072,0.877432,0.82,0.525955,0.388889,False
0.8,0.8,0.3,0.7964,0.912781,0.6118,0.2212,0.1606,0.0064,0.907159,0.719711,0.496887,0.375,False
0.95,0.6,0.4,0.7962,0.999284,0.418,0.474,0.0966,0.0114,0.962679,0.724051,0.47412,0.421053,False
0.7,0.7,0.7,0.796,0.853748,0.6886,0.2018,0.062,0.0476,0.877432,0.676908,0.570968,0.415966,True
0.9,0.5,0.9,0.796,0.938641,0.502,0.4358,0.016,0.0462,0.948606,0.665902,0.65,0.415584,False
0.7,0.7,0.8,0.7958,0.868212,0.6886,0.2018,0.0486,0.061,0.877432,0.676908,0.613169,0.413115,False
0.7,0.7,0.6,0.7956,0.842738,0.6886,0.2018,0.0722,0.0374,0.877432,0.676908,0.554017,0.395722,True
0.7,0.7,0.95,0.7956,0.896708,0.6886,0.2018,0.0222,0.0874,0.877432,0.676908,0.738739,0.439359,False
0.7,0.9,0.4,0.7956,0.881361,0.6886,0.1334,0.1608,0.0172,0.877432,0.751124,0.524876,0.395349,False
0.95,0.5,0.9,0.7956,1.001215,0.418,0.5158,0.0188,0.0474,0.962679,0.698333,0.680851,0.42616,False
0.9,0.6,0.4,0.7954,0.935531,0.502,0.3968,0.0898,0.0114,0.948606,0.691028,0.447661,0.421053,False
0.9,0.5,0.8,0.7952,0.928062,0.502,0.4358,0.0258,0.0364,0.948606,0.665902,0.550388,0.401099,False
0.9,0.5,0.95,0.7952,0.945549,0.502,0.4358,0.0096,0.0526,0.948606,0.665902,0.708333,0.418251,False
0.95,0.6,0.3,0.7952,0.991728,0.418,0.474,0.1036,0.0044,0.962679,0.724051,0.46139,0.409091,False
0.8,0.7,0.4,0.795,0.887336,0.6118,0.2588,0.1158,0.0136,0.907159,0.690108,0.48532,0.382353,False
0.95,0.5,0.8,0.795,0.98999,0.418,0.5158,0.0292,0.037,0.962679,0.698333,0.589041,0.410811,False
0.95,0.5,0.95,0.7948,1.008124,0.418,0.5158,0.0124,0.0538,0.962679,0.698333,0.741935,0.427509,False
0.7,0.9,0.3,0.7946,0.869487,0.6886,0.1334,0.1718,0.0062,0.877432,0.751124,0.511059,0.387097,False
0.8,0.7,0.3,0.7944,0.878053,0.6118,0.2588,0.1244,0.005,0.907159,0.690108,0.474277,0.36,False
0.9,0.5,0.7,0.7944,0.919859,0.502,0.4358,0.0334,0.0288,0.948606,0.665902,0.497006,0.395833,False
0.9,0.6,0.3,0.7944,0.927975,0.502,0.3968,0.0968,0.0044,0.948606,0.691028,0.43595,0.409091,False
0.8,0.6,0.9,0.7942,0.905283,0.6118,0.2986,0.0268,0.0628,0.907159,0.654387,0.656716,0.417197,False
0.95,0.5,0.7,0.7942,0.981786,0.418,0.5158,0.0368,0.0294,0.962679,0.698333,0.532609,0.408163,False
0.7,0.7,0.5,0.7938,0.829137,0.6886,0.2018,0.0848,0.0248,0.877432,0.676908,0.514151,0.379032,True
0.7,0.8,0.4,0.7936,0.844355,0.6886,0.1726,0.1238,0.015,0.877432,0.705678,0.495961,0.413333,False
0.8,0.6,0.95,0.7936,0.914565,0.6118,0.2986,0.0182,0.0714,0.907159,0.654387,0.725275,0.420168,False
0.8,0.6,0.7,0.7934,0.881104,0.6118,0.2986,0.0492,0.0404,0.907159,0.654387,0.544715,0.40099,False
0.8,0.6,0.8,0.7932,0.892546,0.6118,0.2986,0.0386,0.051,0.907159,0.654387,0.585492,0.396078,False
0.9,0.5,0.6,0.7932,0.913814,0.502,0.4358,0.039,0.0232,0.948606,0.665902,0.471795,0.362069,False
